E5_File,E5_Unique_HR_30,E5_Unique_HR_20,E5_Unique_HR_10,E5_Unique_HR_5,E5_MRR,top_30_HR_whole,top_20_whole,top_10_whole,top_5_whole,MRR_whole,File_name
output27.txt,0.914285714,0.9,0.871428571,0.785714286,0.637444274,0.985714286,0.985714286,0.928571429,0.885714286,0.724279923,output27.txt
output28.txt,0.928571429,0.914285714,0.871428571,0.8,0.695351685,0.985714286,0.985714286,0.942857143,0.842857143,0.732111064,output28.txt
output29.txt,0.871428571,0.871428571,0.814285714,0.728571429,0.603697161,0.971428571,0.928571429,0.885714286,0.8,0.676747277,output29.txt
output3.txt,0.914285714,0.914285714,0.914285714,0.8,0.693637122,0.957142857,0.957142857,0.9,0.885714286,0.777342078,output3.txt
output30.txt,0.9,0.885714286,0.857142857,0.8,0.635061876,0.957142857,0.942857143,0.914285714,0.814285714,0.689098652,output30.txt
output31.txt,0.885714286,0.857142857,0.814285714,0.714285714,0.56183396,0.985714286,0.957142857,0.9,0.828571429,0.659636541,output31.txt
output32.txt,0.842857143,0.842857143,0.785714286,0.785714286,0.618197218,0.985714286,0.957142857,0.9,0.828571429,0.732345019,output32.txt
output33.txt,0.928571429,0.914285714,0.871428571,0.814285714,0.692360485,0.985714286,0.985714286,0.957142857,0.942857143,0.81629627,output33.txt
output34.txt,0.9,0.885714286,0.857142857,0.814285714,0.690865546,0.985714286,0.957142857,0.928571429,0.871428571,0.745284365,output34.txt
output35.txt,0.957142857,0.942857143,0.914285714,0.842857143,0.729777962,0.985714286,0.971428571,0.914285714,0.871428571,0.755009704,output35.txt
output36.txt,0.885714286,0.885714286,0.857142857,0.785714286,0.666155461,0.985714286,0.971428571,0.9,0.871428571,0.740648835,output36.txt
output37.txt,0.942857143,0.942857143,0.914285714,0.857142857,0.698704262,1,1,0.942857143,0.914285714,0.802808085,output37.txt
output38.txt,0.9,0.871428571,0.828571429,0.785714286,0.629079966,1,0.971428571,0.928571429,0.842857143,0.72358553,output38.txt
output39.txt,0.957142857,0.942857143,0.9,0.842857143,0.708603411,1,1,0.985714286,0.942857143,0.805833333,output39.txt
output4.txt,0.914285714,0.914285714,0.871428571,0.8,0.695611525,0.971428571,0.942857143,0.928571429,0.871428571,0.728741817,output4.txt
output40.txt,0.9,0.9,0.857142857,0.785714286,0.624395259,1,1,0.942857143,0.857142857,0.696766209,output40.txt
output41.txt,0.828571429,0.828571429,0.785714286,0.742857143,0.572716467,0.985714286,0.971428571,0.9,0.842857143,0.737741144,output41.txt
